10 20
10 0 1 0 22 12 22 19 4 18 12 
0 9 3 15 5 13 0 5 16 10 15 
5 16 8 7 5 11 22 16 6 5 9 
4 1 17 2 5 7 9 4 20 3 2 
7 8 6 17 4 16 21 1 13 13 18 
7 20 4 18 18 22 22 7 0 20 12 
14 15 1 12 8 8 13 17 19 12 0 
12 12 21 20 19 15 18 21 11 13 19 
15 0 2 17 0 19 9 17 19 1 7 
21 12 21 21 6 20 0 0 12 5 4 
22 17 3 4 17 20 4 7 8 10 18 
12 0 6 12 11 4 3 14 20 21 5 
22 10 14 6 10 21 2 16 17 11 10 
21 8 15 14 16 6 17 11 18 6 20 
21 5 19 22 2 22 6 20 0 15 20 
14 15 6 6 17 3 7 18 6 1 14 
17 10 21 10 6 18 14 5 19 10 4 
11 12 12 8 18 19 14 0 12 13 10 
4 21 22 12 0 14 13 0 10 15 10 
4 11 5 21 10 10 7 19 2 5 0 
