10 100
12 7 21 16 21 16 22 16 10 7 8 
3 9 20 3 18 17 7 1 8 22 14 
15 1 20 6 13 15 0 6 16 18 11 
20 17 10 7 5 15 14 9 10 6 9 
12 22 20 5 21 7 1 11 17 0 8 
1 14 1 3 9 16 4 9 3 12 15 
2 9 14 13 5 2 17 14 14 16 6 
18 9 18 10 20 6 0 18 21 20 2 
4 1 20 7 7 2 22 2 8 9 6 
1 15 19 22 4 14 19 9 1 11 12 
5 8 3 21 11 10 4 17 2 17 21 
19 8 12 3 13 9 9 3 1 1 16 
21 9 21 21 2 18 19 15 11 22 6 
8 18 12 16 7 22 5 13 16 19 21 
13 20 4 19 1 3 4 9 18 2 4 
5 17 15 15 11 7 3 7 6 12 16 
6 18 4 20 20 5 21 10 18 7 22 
15 12 2 2 12 10 3 18 14 16 13 
13 14 0 11 1 13 12 2 3 12 5 
16 1 8 22 15 19 20 13 11 8 21 
10 2 6 16 21 21 5 6 4 0 18 
13 20 14 21 17 7 10 6 3 21 14 
21 9 1 0 14 18 18 8 8 10 5 
18 2 12 18 4 4 10 1 1 22 7 
4 11 14 10 17 22 2 16 12 22 14 
2 9 14 15 1 5 4 21 1 22 12 
15 9 17 3 2 11 0 17 17 22 12 
18 4 16 8 18 19 22 10 12 7 11 
6 8 11 12 15 15 16 12 18 2 0 
18 15 19 19 20 12 10 20 6 0 16 
5 4 22 8 21 21 11 13 16 21 4 
17 14 13 6 9 20 5 12 5 15 6 
18 19 17 1 21 2 0 4 15 14 15 
20 16 21 22 12 11 5 1 6 19 19 
21 14 11 8 16 17 2 3 14 18 10 
4 4 5 6 13 8 13 12 4 11 7 
9 10 18 22 21 17 5 18 4 18 0 
7 18 4 20 7 8 19 3 7 13 5 
22 14 12 22 19 5 4 0 19 15 20 
22 6 8 4 15 6 14 19 13 12 18 
7 7 3 9 15 18 4 5 22 6 5 
0 2 8 17 5 7 7 7 15 17 7 
9 6 6 20 11 12 13 9 16 8 1 
5 14 0 6 17 10 14 8 1 13 0 
4 16 16 0 1 8 20 13 2 9 11 
8 10 14 15 19 13 19 11 21 14 22 
10 15 5 10 4 17 22 11 18 5 13 
12 16 18 22 4 14 21 20 5 12 18 
13 2 2 21 13 22 6 16 7 8 20 
16 16 14 7 11 2 21 3 7 4 3 
22 22 7 20 15 17 17 19 10 20 12 
7 19 1 15 21 4 13 16 5 6 18 
21 19 1 2 13 15 13 12 21 12 1 
8 9 15 1 12 4 16 4 19 6 19 
12 1 9 2 17 4 22 7 15 18 5 
17 2 20 1 11 14 18 3 12 9 14 
1 0 22 11 6 19 6 7 9 22 18 
6 14 3 11 17 1 13 11 7 13 19 
13 14 14 7 0 13 10 13 1 3 15 
11 7 7 14 7 7 12 15 14 10 16 
10 9 19 11 15 2 0 17 3 5 20 
1 20 12 5 5 7 3 16 21 14 13 
20 5 0 8 8 2 14 21 17 19 12 
7 19 6 9 7 14 0 3 7 17 9 
9 6 13 18 4 0 17 7 18 22 19 
19 3 2 17 9 19 8 7 13 4 11 
22 15 11 19 5 2 16 1 19 19 17 
18 4 11 14 15 21 15 7 14 6 6 
11 5 8 18 7 0 14 2 17 22 19 
1 16 16 18 6 10 7 4 0 22 5 
13 16 19 22 10 18 18 1 3 16 5 
13 17 8 17 19 20 10 9 2 19 15 
8 6 1 9 19 10 12 17 14 16 17 
2 8 19 20 4 4 22 10 6 7 20 
1 15 18 15 22 20 7 7 13 2 21 
14 0 18 22 3 2 21 12 3 1 7 
3 5 8 16 7 6 17 16 15 0 18 
7 12 18 11 18 7 4 12 1 4 2 
14 22 20 18 4 19 9 4 8 20 6 
16 17 20 14 17 18 11 4 3 22 18 
8 1 21 2 5 7 9 13 18 7 2 
6 20 12 20 20 18 11 18 16 13 18 
13 1 19 16 16 12 3 4 17 4 9 
5 5 4 9 18 16 10 4 3 3 1 
17 4 9 21 6 13 10 17 22 1 0 
3 0 9 10 18 16 16 17 5 16 5 
1 9 1 2 14 6 0 21 10 20 13 
10 21 4 5 5 22 21 12 17 3 10 
19 16 11 10 10 10 6 22 21 18 8 
6 15 9 8 19 6 1 13 15 10 15 
12 5 3 22 3 16 9 12 11 1 15 
8 14 6 8 18 9 11 7 11 16 20 
2 15 21 2 7 7 13 4 21 5 16 
17 16 4 12 16 7 17 9 5 11 1 
10 16 5 18 3 19 9 8 0 22 13 
22 2 20 7 6 15 15 9 3 6 21 
16 19 14 4 22 16 8 7 13 6 22 
14 14 16 17 18 19 11 6 8 19 1 
16 10 1 22 3 8 7 22 5 9 9 
18 15 3 20 9 22 7 8 17 19 3 
