5 100
13 19 10 21 9 4 
18 17 18 17 13 21 
22 5 1 9 11 15 
10 2 11 18 6 1 
18 10 22 6 1 5 
14 3 0 10 12 9 
10 20 16 11 7 13 
22 7 16 7 2 18 
3 7 8 4 10 19 
15 18 15 20 15 14 
1 5 21 20 3 21 
11 11 11 2 6 5 
11 7 16 19 8 20 
16 3 3 8 22 4 
15 1 19 6 14 9 
3 7 11 12 20 20 
6 19 7 1 1 18 
13 8 2 10 12 3 
10 7 8 2 11 2 
9 7 3 20 22 17 
3 8 18 11 19 20 
2 15 2 22 5 2 
12 2 19 15 17 10 
13 16 6 14 0 14 
8 7 22 2 2 7 
17 1 3 14 0 19 
6 13 13 18 21 4 
16 22 3 21 15 7 
9 9 22 21 11 9 
16 13 11 5 16 9 
9 3 2 20 2 0 
21 4 19 0 10 12 
13 6 15 13 17 22 
12 13 6 7 4 15 
10 3 15 6 14 11 
19 10 15 0 4 10 
6 8 21 11 5 10 
21 5 5 1 20 9 
16 4 16 7 21 16 
12 0 6 8 22 7 
15 17 4 18 16 22 
12 0 19 3 3 9 
0 2 12 16 19 17 
16 22 15 3 16 3 
9 18 16 8 6 1 
17 9 16 17 2 3 
1 16 13 12 5 6 
9 9 5 3 4 17 
18 11 13 16 19 8 
9 9 19 22 18 11 
12 19 20 13 19 17 
5 9 15 5 21 12 
8 9 8 18 2 0 
16 21 12 4 11 5 
11 22 22 13 9 16 
21 21 10 22 16 16 
5 8 1 13 17 6 
7 0 10 14 15 18 
4 0 20 5 16 22 
13 12 2 10 0 10 
21 17 13 7 12 10 
6 9 17 8 21 20 
17 10 6 0 2 16 
20 16 6 7 6 2 
8 15 22 0 19 10 
1 22 11 13 1 16 
20 7 0 19 13 3 
22 20 8 14 8 11 
19 20 8 4 8 9 
1 19 18 12 19 13 
19 8 4 21 21 10 
5 20 15 10 5 6 
19 17 2 13 13 19 
10 22 20 0 19 4 
12 18 2 2 2 5 
12 15 9 11 19 6 
10 8 10 17 1 0 
17 21 13 4 1 9 
13 5 17 19 22 22 
19 21 1 12 0 2 
8 13 6 0 19 21 
11 13 9 14 14 14 
8 3 7 8 19 14 
5 12 0 6 12 22 
19 5 12 19 18 6 
10 17 16 11 22 18 
6 19 6 18 19 9 
16 22 2 7 6 18 
20 19 22 16 7 17 
19 12 22 6 11 21 
21 3 6 11 6 2 
13 17 6 17 14 17 
17 16 8 6 0 7 
11 15 21 17 18 20 
15 16 11 19 1 0 
14 7 0 18 0 10 
15 7 20 2 11 3 
20 17 18 8 15 3 
20 20 0 18 15 9 
22 14 3 5 3 2 
